"Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Alias","Alias"
"Alias For Display","Alias ​​voor Beeldscherm"
"All Customers","All Customers"
"Allowed Currencies","Allowed Currencies"
"Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Already registered?","Already registered?"
"Always Checkout as Guest","Always Checkout as Guest"
"American Express","American Express"
"Amount","Bedrag"
"Amount Incl. Tax","Amount Incl. Tax"
"An attempt to cancel the transaction was made with an incorrect hash.","An attempt to cancel the transaction was made with an incorrect hash."
"An attempt to process the transaction was made with an incorrect hash.","An attempt to process the transaction was made with an incorrect hash."
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Author","Author"
"Authorization Amount","Autorisatie bedrag"
"Authorization Failed","Autorisatie mislukt"
"Authorization Method","Autorisatie Methode"
"Authorization is uncertain.","Autorisatie is onzeker"
"Authorized Status","Authorized Status"
"Await Notification","Await Notification"
"Awaiting confirmation","Awaiting confirmation"
"BIC","BIC"
"Bad signature format.","Bad signature format."
"Bank Location","Bank Locatie"
"Bank Name","Bank Naam"
"Bank account number","Bankrekeningnummer"
"Bank code number","Bankcode"
"Before payment selection","Vóór het selecteren van de betaalmethode"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Billing address","Factuuradres"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"CVC Code","CVC Code"
"Cancel","Cancel"
"Cancel ID","Cancel ID"
"Cancel pending orders when out of stock","Lopende orders te annuleren als het item is niet langer op voorraad."
"Cancel status","Cancel status"
"Canceled TwintCw","Canceled TwintCw"
"Canceling of this payment not possible!","Deze betaling kan niet worden geannuleerd!"
"Cancelled Status","Cancelled Status"
"Cannot update item quantity.","Kan product hoeveelheid niet bijwerken."
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Capture bedrag"
"Capture information","Boekingsinformatie"
"Capture status","Capture status"
"Capture: Don't Close","Capture: Don't Close"
"Captured Amount","Opgenomen bedrag"
"Captured Status","Captured Status"
"Captures","Captures"
"Captures & Refunds","Captures & Refunds"
"Capturing","Boeking"
"Capturing method","Capturing method"
"Card Expiration","Kaart vervaldatum"
"Card Holder Name","Kaarthouder"
"Card Number","Kaartnummer"
"Carrier Title","Carrier Title"
"Cash Register Generation","Cash Register Generation"
"Cash Register ID","Cash Register ID"
"Certificate","Certificate"
"Certificate (Test)","Certificate (Test)"
"Certificate Passphrase","Certificate Passphrase"
"Certificate Passphrase (Test)","Certificate Passphrase (Test)"
"Check out faster","Check out faster"
"Check to activate the external checkout.","Check to activate the external checkout."
"Checkout","Checkout"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Checkout as a new customer","Checkout as a new customer"
"Checkout using your account","Checkout using your account"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Selecteer 'Creatie na de bestelling' als u wilt dat een factuur wordt gecreëerd. De status van de bestelling is gebaseerd op de boeken van de status. Voor vastgelegde betalingen wordt altijd een factuur aangemaakt."
"Company Commercial Number","Company Commerciële Nummer"
"Confirm Password","Confirm Password"
"Confirm TWINT payment","Confirm TWINT payment"
"Continue","Voortzetten"
"Copy the content of the .pem file that you received from TWINT into the certificate text area in the main module.","Copy the content of the .pem file that you received from TWINT into the certificate text area in the main module."
"Could not convert object of type '!type' to string.","Kan niet converteren object van het type '!type' naar een string."
"Could not find a brand for the given card number.","Kan een merk voor de opgegeven kaartnummer niet vinden."
"Could not find pressed button.","Kon ingedrukte knop niet vinden."
"Could not find template file at default location '!location'.","Kan template bestand niet vinden op standaard locatie '!location'."
"Could not find the payment method !paymentMethodName.","Kan de betaalmethode !paymentMethodName niet vinden."
"Could not load layout from URL !url. Reason: !reason","Kon layout niet laden van URL !url. Reden: !reason"
"Create Account","Create Account"
"Create New Order - Payment","Create New Order - Payment"
"Create a certificate and transform it into a PEM file (see manual). Copy the content of this file to the certificate field. Add the password for the certificate to the corresponding field.","Create a certificate and transform it into a PEM file (see manual). Copy the content of this file to the certificate field. Add the password for the certificate to the corresponding field."
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","Creating an account has many benefits:"
"Creation Date","Creation Date"
"Credit Card Brands","Credit Card Brands"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Did you mean: Credit memos total must be positive.Totale creditnota's moet positief zijn."
"Currency","Valuta"
"Current Configuration Scope:","Huidige omvang van de configuratie:"
"Customer Account","Customer Account"
"Customer Alias Management","Customer Alias Management"
"Customer successfully returned from TwintCw","De cliënt heeft met succes teruggekeerd van TwintCw."
"Customer successfully returned from TWINT","Klant met succes terug uit TWINT"
"Customer sucessfully returned from the TwintCw payment page.","Customer sucessfully returned from the TwintCw payment page."
"Customers","Customers"
"Customweb","Customweb"
"Date","Datum"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Default Config","Standaardconfiguratie"
"Deferred","Deferred"
"Deferred (authorization)","Deferred (authorization)"
"Deferred capturing","De vertraagde boeking"
"Deferred settlement","Vertraagde creatie"
"Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Delayed","Vertraagd"
"Delete","Verwijder"
"Delivery address","Afleveradres"
"Description","Beschrijving"
"Diners Club","Diners Club"
"Direct","Direct"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Directe boeking"
"Directly after order (sale)","Directly after order (sale)"
"Disabled","Invalide"
"Discount","Discount"
"Discount Amount","Bedrag van de korting"
"Don't change order status","Don't change order status"
"During authorization","Tijdens de autorisatie"
"Edit","Bewerken"
"Edit Invoice %s","Edit Invoice %s"
"Email Address","Email Address"
"Empty version number field name","Empty version number field name"
"Enable or disable logging.","Enable or disable logging."
"Enable the payment method","Betaalmethode inschakelen"
"Enabled","Ingeschakeld"
"Enter the Merchant Alias ID and the certificate passphrase into the fields of the main module.","Enter the Merchant Alias ID and the certificate passphrase into the fields of the main module."
"Enter the System ID into the corresponding field.","Enter the System ID into the corresponding field."
"Enter the date on which your card expires.","Voer de vervaldatum van de kaart"
"Error with the length of the validation date.","Error with the length of the validation date."
"Error: The response could not be mapped.","Error: The response could not be mapped."
"Excl. Tax","Excl. belasting"
"External Checkout","External Checkout"
"External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Failed","Mislukt"
"Failed payment authorization.","Mislukte betaling toestemming."
"Figure !number:","Figure !number:"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"Generate Cash Register","Generate Cash Register"
"Get Update","Get Update"
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can modify what the order number looks like. The placeholder {id} will be replaced with the internal order number (e.g. ""MyShop-{id}""))","Here you can modify what the order number looks like. The placeholder {id} will be replaced with the internal order number (e.g. ""MyShop-{id}""))"
"Here you can modify what the order number looks like. The placeholder {id} will be replaced with the internal order number (e.g. 'MyShop-{id}'))","Here you can modify what the order number looks like. The placeholder {id} will be replaced with the internal order number (e.g. 'MyShop-{id}'))"
"Here you can set the passphrase for the certificate. The certificate will be provided by TWINT.","Here you can set the passphrase for the certificate. The certificate will be provided by TWINT."
"Here you can set the passphrase for the certificate. The passphrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated.","Here you can set the passphrase for the certificate. The passphrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated."
"Here you can set the passphrase for the test certificate. The certificate will be provided by TWINT.","Here you can set the passphrase for the test certificate. The certificate will be provided by TWINT."
"Here you can set the passphrase for the test certificate. The passphrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated.","Here you can set the passphrase for the test certificate. The passphrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated."
"Here you can specify the test certificate which will be used to encrypt the communication in test mode. The text should be copied from the PEM file provided by TWINT. You can use a regular test editor to open the .pem file.","Here you can specify the test certificate which will be used to encrypt the communication in test mode. The text should be copied from the PEM file provided by TWINT. You can use a regular test editor to open the .pem file."
"Here you can specify which certificate which will be used to encrypt the communication in test mode. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field.","Here you can specify which certificate which will be used to encrypt the communication in test mode. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field."
"Here you can specify which certificate which will be used to encrypt the communication. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field.","Here you can specify which certificate which will be used to encrypt the communication. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field."
"Here you can specify which certificate which will be used to encrypt the communication. The text should be copied from the PEM file provided by TWINT. You can open the .pem file with a regular text editor.","Here you can specify which certificate which will be used to encrypt the communication. The text should be copied from the PEM file provided by TWINT. You can open the .pem file with a regular text editor."
"Hide","Hide"
"IBAN","IBAN"
"IBAN number","IBAN-nummer"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Als er slechts een product op voorraad is en de betaling van de klant (de exacte koopt dit product) faalt, zolang het product wordt gereserveerd tot de bestelling wordt geannuleerd (zie Time-out optie). Schakel deze optie in als u NIET wilt dat het product zal worden gereserveerd. Bestellingen met een mislukte of afgebroken status van de betaling wordt meteen geannuleerd."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"If it is not applicable leave the field empty.","Als het niet van toepassing laat het veld leeg."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden geannuleerd."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden vastgelegd."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden terugbetaald."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Inactive","Inactive"
"Incl. Tax","Incl. belasting"
"Information","Information"
"Invalid login or password.","Invalid login or password."
"Invoice Items","Factuur items"
"Invoice Settlement","Invoice Settlement"
"Invoice Totals","Factuurtotalen"
"Invoice settlement","Creatie van de rekening"
"Invoice was created successfully","Het rekening is gemaakt met goed gevolg"
"Invoices","Facturen"
"Issue Number","Albumreeks"
"It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Item","Item"
"Items","Items"
"Items Refunded","Items Refunded"
"JCB","JCB"
"Live","Live"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Register"
"Login and password are required.","Login and password are required."
"Mail order/telephone order authorization","Postorder / telefonische bestellingen machtiging"
"Manage Stores","Beheer winkels"
"Manage TWINT Aliases","Manage TWINT Aliases"
"MasterCard","MasterCard"
"Maximum Order Total","Maximum Bestel Total"
"Merchant Alias ID","Merchant Alias ID"
"Merchant Alias ID (Test)","Merchant Alias ID (Test)"
"Message","Bericht"
"Method Title","Method Title"
"Minimum Order Total","Minimum Bestel Total"
"Month","Maand"
"My TWINT Aliases","My TWINT Aliases"
"New Order","New Order"
"New Order Status","Niewe bestelstatus"
"New card","New card"
"Next Update Execution Date","Next Update Execution Date"
"No","Geen"
"No Items","No Items"
"No additional payment information available.","Geen extra betaling informatie beschikbaar"
"No authorization method found for payment method !method.","Geen vergunning methode gevonden voor de betalingswijze"
"No button returned.","Geen knop terug."
"No refund possible.","Geen terugbetaling mogelijk"
"No shipping method needed.","No shipping method needed."
"No, use the dropdown.","No, use the dropdown."
"Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Only authorized transaction can be cancelled.","Alleen geautoriseerde transacties kan worden geannuleerd."
"Only authorized transaction can be captured.","Alleen geautoriseerde transacties kunnen worden geregistreerd"
"Only authorized transaction can be refunded.","Alleen geautoriseerde transacties kunnen worden bijgeschreven."
"Only captured transaction can be refunded.","Alleen opgenomen transacties kunnen worden bijgeschreven."
"Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Open the TWINT App on your smartphone and confirm the payment","Open the TWINT App on your smartphone and confirm the payment"
"Open the TWINT App on your smartphone.","Open the TWINT App on your smartphone."
"Operating Mode","Operating Mode"
"Operation Mode","Operation Mode"
"Order #","Order #"
"Order Grand Total","Bestel Grand Total"
"Order Information","Order Information"
"Order Prefix","Order Prefix"
"Order Review","Order Review"
"Order Schema","Order Schema"
"Order Summary","Order Summary"
"Order Total","Order Total"
"Order cancelled, because the customer was too long in the payment process of TWINT.","De bestelling is geannuleerd omdat de klant was te lang gevestigd in het betalingsproces van TWINT."
"Order failed.","Order failed."
"Order failed: Customer aborted the process.","Order failed: Customer aborted the process."
"Order failed: Merchant aborted the process.","Order failed: Merchant aborted the process."
"Order failed: Order timeout.","Order failed: Order timeout."
"Order was placed using %s","Order was placed using %s"
"Orders","Orders"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellingen waarvan de betaling is in behandeling langer dan de gedefinieerde time-out in minuten automatisch geannuleerd. Om deze functie moet je setup Magento cron gebruiken."
"Paid Amount","Betaalde bedrag"
"Partial refund not possible. You may retry with the total transaction amount.","Gedeeltelijke terugbetaling is niet mogelijk. Het bedrag hoger is dan het totale bedrag."
"Password","Password"
"Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Payment","Payment"
"Payment ID","Betaling ID"
"Payment Id","Betaling ID"
"Payment Information","Informatie over betaling"
"Payment Method","Betalingsmethode"
"Payment captured successfully.","Betaling succes gevangen"
"Payment could not be authorized. Cancelling order. Reason : ","De betaling is niet geatoriseerde. De bestelling wordt geannuleerd. Reden:"
"Payment details can be entered after placing the order","Betaling informatie kan worden ingevoerd na het plaatsen van de bestelling"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from applicable countries","Betaling van de toepasselijke landen"
"Payment from specific countries","Betaling van specifieke landen"
"Payment is pending at TwintCw","Betaling in behandeling bij TwintCw"
"Payment method description","Beschrijving van de betaalmethode"
"Payment partially successful","Payment partially successful"
"Payment successful","Payment successful"
"Payment with %s","Payment with %s"
"Payment with TWINT","Betalen met TWINT"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Betalingen kunnen automatisch worden bijgewerkt (in minuten) via API (indien ingeschakeld). Om de functie te gebruiken, moet de Magento Cron worden ingeschakeld."
"Pending","Pending"
"Pending TwintCw","Pending TwintCw"
"Place Order","Place Order"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check the entered CVC number.","Controleer de ingevoerde CVC nummer."
"Please check the entered credit card number.","Controleer de ingevoerde creditcardnummer."
"Please confirm the payment in the TWINT App on your phone.","Please confirm the payment in the TWINT App on your phone."
"Please enter here the Bank Identifier Code (BIC).","Vul hier de Bank Identifier Code (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Voer hier het CVC uw kaart in te voeren. U kunt dit vinden op de achterkant van uw creditcard."
"Please enter here the International Bank Account Number (IBAN).","Voer hier het International Bank Account Number (IBAN)."
"Please enter here the account holder name on the card.","Vul hier de naam rekeninghouder op de kaart."
"Please enter here the account holder name.","Vul hier de naam van de rekeninghouder."
"Please enter here the account number of your bank account.","Vul het rekeningnummer van uw bankrekening in te voeren"
"Please enter here the bank code of your bank.","Vul hier de bankcode van uw bank in te voeren"
"Please enter here the card holder name on the card.","Geef de kaarthouder een"
"Please enter here the commercial number of your company.","Vul hier het commerciële nummer van uw bedrijf."
"Please enter here the name of the account owner.","Vul de naam van de rekeninghouder in te voeren"
"Please enter here the number on your card.","Vul het kaartnummer van uw creditcard in te voeren"
"Please enter here the sales tax number of your company.","Vul hier de omzetbelasting nummer van uw bedrijf."
"Please enter here your social security number.","Vul hier uw sofi-nummer."
"Please enter the location of your bank.","Vul de locatie van uw bank."
"Please enter the name of your bank.","Vul de naam van uw bank."
"Please enter your IBAN number.","Gelieve uw IBAN-nummer."
"Please enter your issue number, if there is no CVC code on your card.","Vul uw probleem nummer als er geen CVC code op uw kaart."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Gelieve knipperen of de opslag cache uit te schakelen en probeer het opnieuw. Als dit niet helpt, moet u de machtiging methode om Payment Page en contact <a href=""%s"" target=""_blank"">sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please log in below:","Please log in below:"
"Please select","Selecteer aub"
"Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Please select the Bank Identifier Code (BIC) of your bank.","Selecteer de Bank Identifier Code (BIC) van uw bank."
"Please select the day of your birth.","Kies de dag van je geboorte."
"Please select the expiry month on your card.","Selecteer de mot van vervaldatum op uw kaart."
"Please select the expiry year on your card.","Vul datum van de kaart de vervaldatum in te voeren"
"Please select the month of your birth.","Kies de maand van je geboorte."
"Please select the the year of your birth.","Selecteer het het jaar van uw geboorte."
"Please wait, processing your order...","Please wait, processing your order..."
"Point your smartphone camera at the QR code. Or select the 'Code' tab and enter the payment code.","Point your smartphone camera at the QR code. Or select the 'Code' tab and enter the payment code."
"Price","Prijs"
"Processing order: Waiting for confirmation from merchant.","Processing order: Waiting for confirmation from merchant."
"Processing order: Waiting for confirmation from user.","Processing order: Waiting for confirmation from user."
"Processing order:. Waiting for pairing from user.","Processing order:. Waiting for pairing from user."
"Product","Product"
"Product Name","Product Name"
"Purchase Point","Purchase Point"
"QR - CODE","QR - CODE"
"QR CODE","QR CODE"
"Qty","Hoeveelheid"
"Recurring Payments","Recurring Payments"
"Refund Amount","Terug te betalen bedrag"
"Refund ID","Refund ID"
"Refund amount","Terug te betalen bedrag"
"Refund information","Informatie van de terugbetaling"
"Refund status","Status van de restitutie"
"Refunded Amount","Bedrag gecrediteerd"
"Refunds","Refunds"
"Register","Register"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Release Date","Release Date"
"Return to order","Return to order"
"Review","Review"
"Rounding Adjustment","Rounding Adjustment"
"Row Total","Rijtotaal"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Sales"
"Sales Tax Number","Sales Tax nummer"
"Save","Bewaren"
"Saved cards:","Opgeslagen kaarten:"
"See order and shipping status","See order and shipping status"
"Select Brand","Kies een Merk"
"Select Method","Select Method"
"Select the QR code symbol at the bottom right.","Select the QR code symbol at the bottom right."
"Select the authorization method to use for processing this payment method.","Selecteer de Autorisatie Methode voor deze betaalmethode."
"Select the date of your birth.","Kies de datum van uw geboorte."
"Select the date on which your card expires.","Selecteer de datum waarop uw kaart verloopt."
"Selected payment profile:","Selected payment profile:"
"Send Invoice Email","Send Invoice Email"
"Send amounts to TWINT in base currency.","Send amounts to TWINT in base currency."
"Send amounts to TWINT in store's base currency.","Send amounts to TWINT in store's base currency."
"Send invoice email","Send invoice email"
"Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Server Polling Timeout","Server Polling Timeout"
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Voor 'Directe Boeking' het bedrag wordt direct in mindering gebracht na betaling voltooid. Voor 'Vertraagde boeking' het bedrag wordt gedebiteerd pas na een bepaalde periode van je."
"Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Settlement after order","Creatie na de bestelling"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Amount","Verzending bedrag"
"Shipping Information","Verzend Informatie"
"Shipping Method","Shipping Method"
"Shipping Methods","Shipping Methods"
"Shipping Refund","Verzending terugbetaling"
"Shop","Shop"
"Short Installation Instructions:","Short Installation Instructions:"
"Should the authorized amount be transferred directly (direct) or should it be captured manually (deferred)?","Should the authorized amount be transferred directly (direct) or should it be captured manually (deferred)?"
"Show","Show"
"Show Account Selection","Show Account Selection"
"Show Further Settings and Information","Toon meer instellingen en informatie"
"Show Image","Show Image"
"Show Payment Id","Show Payment Id"
"Show the payment id","Show the payment id"
"Show the payment id in the order information","Show the payment id in the order information"
"Show the payment image","Show the payment image"
"Show the payment image on the checkout page","Show the payment image on the checkout page"
"Sign In","Sign In"
"Social Security Number","Social Security Number"
"Sort Order","Schik de orde"
"Status","Status"
"Store the payment details","Store the payment details"
"Stored payment details","Stored payment details"
"Submit Order","Submit Order"
"Submitting order information...","Submitting order information..."
"Subtotal","Subtotaal"
"Success","Succes"
"Successful","Met goed gevolg"
"Successful online refund of amount","Succesvolle online teruggaaf van bedragen"
"Successful payment authorization.","Succesvolle machtiging."
"Successfull online refund of amount","Het bedrag werd met succes terugbetaald."
"Support","Support"
"System ID","System ID"
"System ID (Test)","System ID (Test)"
"TOKEN","TOKEN"
"Tax Amount","Belastingbedrag"
"Technical issue: This payment methods is not available at the moment.","Technisch probleem: Deze betaalmethode is momenteel niet beschikbaar."
"Test","Test"
"Test Mode","Test Mode"
"Test Transaction","Test Transaction"
