"An attempt to process the transaction was made with an incorrect hash.","An attempt to process the transaction was made with an incorrect hash."
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Author","Author"
"Authorization Amount","Authorisation Amount"
"Authorization Failed","Authorisation failed"
"Authorization Method","Authorisation Method"
"Authorization is uncertain.","Authorisation is uncertain"
"Authorized Status","Authorised status"
"Await Notification","Await Notification"
"Awaiting confirmation","Awaiting confirmation"
"BIC","BIC"
"Bad signature format.","False signature format."
"Bank Location","Bank Location"
"Bank Name","Bank Name"
"Bank account number","Bank account number (IBAN)"
"Bank code number","Bank code number"
"Before payment selection","Before selection of the payment method"
"Billing Address","Billing Address"
"Billing Information","Billing information"
"Billing address","Billing address"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","With the capture setting, the transaction can be captured directly after the order or later manually over the backend of the store."
"CVC Code","CVC Code"
"Cancel","Cancel"
"Cancel ID","Cancel ID"
"Cancel pending orders when out of stock","Cancel pending orders when out of stock"
"Cancel status","Cancel status"
"Canceled TwintCw","Canceled TwintCw"
"Canceling of this payment not possible!","Cancellation of this payment not possible!"
"Cancelled Status","Cancelled status"
"Cannot update item quantity.","Cannot update item quantity."
"Capture Amount","Amount to capture"
"Capture ID","Capture ID"
"Capture amount","Capture amount"
"Capture information","Capture information"
"Capture status","Capture status"
"Capture: Don't Close","Capture: Don't close"
"Captured Amount","Captured amount"
"Captured Status","Captured status"
"Captures","Captures"
"Captures & Refunds","Captures & Refunds"
"Capturing","Capturing"
"Capturing method","Capturing method"
"Card Expiration","Expiry Date"
"Card Holder Name","Card holder name"
"Card Number","Card number"
"Carrier Title","Carrier Title"
"Cash Register Generation","Cash Register Generation"
"Cash Register ID","Cash Register ID"
"Certificate","Certificate"
"Certificate (Test)","Certificate (Test)"
"Certificate Passphrase","Certificate Passphrase"
"Certificate Passphrase (Test)","Certificate Passphrase (Test)"
"Check out faster","Check out faster"
"Check to activate the external checkout.","Check to activate the external checkout."
"Checkout","Checkout"
"Checkout as Guest","Checkout as a guest"
"Checkout as a Guest or Register","Checkout as a guest or register"
"Checkout as a new customer","Checkout as a new customer"
"Checkout using your account","Checkout using your account"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status. For captured payments, an invoice is always created."
"Company Commercial Number","Company Commercial Number"
"Confirm Password","Confirm Password"
"Confirm TWINT payment","Confirm TWINT payment"
"Continue","Continue"
"Copy the content of the .pem file that you received from TWINT into the certificate text area in the main module.","Copy the content of the .pem file that you received from TWINT into the certificate text area in the main module."
"Could not convert object of type '!type' to string.","Could not convert object of type '!type' to string."
"Could not find a brand for the given card number.","Could not find a brand for the given card number."
"Could not find pressed button.","Could not find pressed button."
"Could not find template file at default location '!location'.","Could not find template file at default location '!location'."
"Could not find the payment method !paymentMethodName.","Could not find the payment method !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Could not load layout from URL !url. Reason: !reason"
"Create Account","Create Account"
"Create New Order - Payment","Create New Order - Payment"
"Create a certificate and transform it into a PEM file (see manual). Copy the content of this file to the certificate field. Add the password for the certificate to the corresponding field.","Create a certificate and transform it into a PEM file (see manual). Copy the content of this file to the certificate field. Add the password for the certificate to the corresponding field."
"Create a recurring payment, with an existing alias is not supported","Creating a recurring payment with an existing alias is not supported."
"Creating an account has many benefits:","Creating an account has many benefits:"
"Creation Date","Creation Date"
"Credit Card Brands","Credit Card Brands"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Currency","Currency"
"Current Configuration Scope:","Current Configuration Scope:"
"Customer Account","Customer account"
"Customer Alias Management","Customer Alias Management"
"Customer successfully returned from TwintCw","Customer successfully returned from TwintCw"
"Customer successfully returned from TWINT","Customer successfully returned from the TwintCw payment page."
"Customer sucessfully returned from the TwintCw payment page.","Customer successfully returned from the TwintCw payment page."
"Customers","Customers"
"Customweb","Customweb"
"Date","Date"
"Date of Birth","Date of birth"
"Day","Day"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finalize your order please create an account below or checkout as a guest."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Default Config","Default Configuration"
"Deferred","Deferred"
"Deferred (authorization)","Deferred (authorisation)"
"Deferred capturing","Deferred capturing"
"Deferred settlement","Deferred settlement"
"Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Delayed","Deferred"
"Delete","Delete"
"Delivery address","Delivery address"
"Description","Description"
"Diners Club","Diners Club"
"Direct","Direct"
"Direct Debits","Direct Debits (ELV)"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Direct capturing"
"Directly after order (sale)","Direct capturing"
"Disabled","Deactivated"
"Discount","Discount"
"Discount Amount","Discount Amount"
"Don't change order status","Don't change order status"
"During authorization","During the authorisation"
"Edit","Edit"
"Edit Invoice %s","Edit Invoice %s"
"Email Address","Email Address"
"Empty version number field name","Empty version number field name"
"Enable or disable logging.","Enable or disable logging."
"Enable the payment method","Enable this payment method"
"Enabled","Enabled"
"Enter the Merchant Alias ID and the certificate passphrase into the fields of the main module.","Enter the Merchant Alias ID and the certificate passphrase into the fields of the main module."
"Enter the System ID into the corresponding field.","Enter the System ID into the corresponding field."
"Enter the date on which your card expires.","Enter the card expiry date."
"Error with the length of the validation date.","Error with the length of the validation date."
"Error: The response could not be mapped.","Error: The response could not be mapped."
"Excl. Tax","Excl. Tax"
"External Checkout","External Checkout"
"External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Failed","Failed"
"Failed payment authorization.","The authorization failed."
"Figure !number:","Figure !number:"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"Generate Cash Register","Generate Cash Register"
"Get Update","Get Update"
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to TWINT. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can modify what the order number looks like. The placeholder {id} will be replaced with the internal order number (e.g. 'MyShop-{id}'))","Here you can modify what the order number should look like. The placeholder {id} will be replaced with the internal order number (e.g. 'MyShop-{id}'))"
"Here you can set the passphrase for the certificate. The certificate will be provided by TWINT.","Here you can set the passphrase for the certificate. The certificate will be provided by TWINT."
"Here you can set the passphrase for the certificate. The passphrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated.","Here you can set the pass phrase for the certificate. The pass phrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated."
"Here you can set the passphrase for the test certificate. The certificate will be provided by TWINT.","Here you can set the passphrase for the test certificate. The certificate will be provided by TWINT."
"Here you can set the passphrase for the test certificate. The passphrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated.","Here you can set the pass phrase for the test certificate. The pass phrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated."
"Here you can specify the test certificate which will be used to encrypt the communication in test mode. The text should be copied from the PEM file provided by TWINT. You can use a regular test editor to open the .pem file.","Here you can specify the test certificate which will be used to encrypt the communication in test mode. The text should be copied from the PEM file provided by TWINT. You can use a regular test editor to open the .pem file."
"Here you can specify which certificate which will be used to encrypt the communication in test mode. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field.","Here you can specify which certificate will be used to encrypt the communication in test mode. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field."
"Here you can specify which certificate which will be used to encrypt the communication. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field.","Here you can specify which certificate will be used to encrypt the communication. The certificate can be found in the TWINT backend under Settings / Order Certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field."
"Here you can specify which certificate which will be used to encrypt the communication. The text should be copied from the PEM file provided by TWINT. You can open the .pem file with a regular text editor.","Here you can specify which certificate which will be used to encrypt the communication. The text should be copied from the PEM file provided by TWINT. You can open the .pem file with a regular text editor."
"Hide","Hide"
"IBAN","IBAN"
"IBAN number","Bank account number (IBAN)"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, the item will be reserved until the payment is cancelled (see timeout option below). Activate this option if you do NOT wish to reserve the item in case of an aborted or failed payment. The order will then be cancelled immediately."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order already being canceled."
"If it is not applicable leave the field empty.","If it is not applicable leave the field empty."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","If the status is 'Pending' it is unclear whether the transaction will be refunded successfully."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our Magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is on hold until the transaction reaches the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Inactive","Inactive"
"Incl. Tax","Incl. Tax"
"Information","Information"
"Invalid login or password.","Invalid login or password."
"Invoice Items","Invoice Items"
"Invoice Settlement","Invoice Settlement"
"Invoice Totals","Invoice Totals"
"Invoice settlement","Invoice settlement"
"Invoice was created successfully","Invoice was successfully created"
"Invoices","Invoices"
"Issue Number","Issue Number"
"It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Item","Item"
"Items","Items"
"Items Refunded","Items Refunded"
"JCB","JCB"
"Live","Live"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Register"
"Login and password are required.","Login and password are required."
"Mail order/telephone order authorization","Mail order/telephone order authorization"
"Manage Stores","Manage Stores"
"Manage TWINT Aliases","Manage TWINT Aliases"
"MasterCard","MasterCard"
"Maximum Order Total","Maximal order total"
"Merchant Alias ID","Merchant Alias ID"
"Merchant Alias ID (Test)","Merchant Alias ID (Test)"
"Message","Message"
"Method Title","Method Title"
"Minimum Order Total","Minimum order total"
"Month","Month"
"My TWINT Aliases","My TWINT Aliases"
"New Order","New Ordern"
"New Order Status","New order status"
"New card","New card"
"Next Update Execution Date","Next Update Execution Date"
"No","No"
"No Items","No Items"
"No additional payment information available.","No additional payment information available"
"No authorization method found for payment method !method.","No authorization method found for payment method !method."
"No button returned.","No button returned."
"No refund possible.","No refund possible"
"No shipping method needed.","No shipping method needed."
"No, use the dropdown.","No, use the dropdown menu."
"Only an authorized transaction can be marked as finally declined.","Only authorized transactions can be marked as finally declined."
"Only an uncertain transaction can be marked as finally declined.","Only uncertain transactions can be marked as finally declined."
"Only authorized transaction can be cancelled.","Only authorised transaction can be cancelled."
"Only authorized transaction can be captured.","Only authorised transactions can be captured."
"Only authorized transaction can be refunded.","Only authorised transaction can be refunded."
"Only captured transaction can be refunded.","Only captured transaction can be refunded."
"Only on captured transaction the flag customer refusing to pay can be set.","It is only possible to set a flag for customers refusing to pay on captured transactions."
"Open the TWINT App on your smartphone and confirm the payment","Open the TWINT App on your smartphone and confirm the payment"
"Open the TWINT App on your smartphone.","Open the TWINT App on your smartphone."
"Operating Mode","Operation mode"
"Operation Mode","Operation mode"
"Order #","Order Number"
"Order Grand Total","Order Grand Total"
"Order Information","Order Information"
"Order Prefix","Order Prefix"
"Order Review","Order Review"
"Order Schema","Order Schema"
"Order Summary","Order Summary"
"Order Total","Order total"
"Order cancelled, because the customer was too long in the payment process of TWINT.","Order cancelled because the customer was in the payment process of TWINT for too long."
"Order failed.","Order failed"
"Order failed: Customer aborted the process.","Order failed: Customer aborted the process"
"Order failed: Merchant aborted the process.","Order failed: Merchant aborted the process"
"Order failed: Order timeout.","Order failed: Order timeout"
"Order was placed using %s","Order was placed using %s"
"Orders","Orders"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Orders, with payments that have been pending for longer than the specified time-out in minutes, are cancelled automatically. To use this feature you have to setup the Magento cron."
"Paid Amount","Paid Amount"
"Partial refund not possible. You may retry with the total transaction amount.","Partial refund not possible. The sum is larger than the total captured amount."
"Password","Password"
"Password and password confirmation are not equal.","""Password"" and ""Password Confirmation"" don't match."
"Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Payment","Payment"
"Payment ID","Payment ID"
"Payment Id","Payment ID"
"Payment Information","Payment Information"
"Payment Method","Payment Method"
"Payment captured successfully.","Payment captured successfully"
"Payment could not be authorized. Cancelling order. Reason : ","Payment could not be authorised. Order is being cancelled for the reason:"
"Payment details can be entered after placing the order","Payment details can be entered after placing the order"
"Payment from Applicable Countries","Payment from applicable countries"
"Payment from Specific Countries","Payment from specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment from specific countries","Payment from specific countries"
"Payment is pending at TwintCw","Payment is pending with TwintCw"
"Payment method description","Payment method description"
"Payment partially successful","Payment partially successful"
"Payment successful","Payment successful"
"Payment with %s","Payment with %s"
"Payment with TWINT","Payment with TWINT"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","The state of the payment will be be updated periodically (interval in minutes) via API if activated. To use this feature you have to setup Magento cron."
"Pending","Pending"
"Pending TwintCw","Pending TwintCw"
"Place Order","Place Order"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check the entered CVC number.","Please check the entered CVC number."
"Please check the entered credit card number.","Please check the entered credit card number."
"Please confirm the payment in the TWINT App on your phone.","Please confirm the payment in the TWINT App on your phone."
"Please enter here the Bank Identifier Code (BIC).","Please enter here the Bank Identifier Code (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Please enter the CVC code from your card. You can find the code on the back of the card."
"Please enter here the International Bank Account Number (IBAN).","Please enter here the International Bank Account Number (IBAN)."
"Please enter here the account holder name on the card.","Please enter here the account holder name on the card."
"Please enter here the account holder name.","Please enter here the account holder name."
"Please enter here the account number of your bank account.","Please enter here the International Bank Account Number (IBAN)."
"Please enter here the bank code of your bank.","Please enter here the bank code of your bank"
"Please enter here the card holder name on the card.","Please enter the card holder's name."
"Please enter here the commercial number of your company.","Please enter the commercial number of your company."
"Please enter here the name of the account owner.","Please enter the name of the account owner"
"Please enter here the number on your card.","Please enter your card number."
"Please enter here the sales tax number of your company.","Please enter here the sales tax number of your company."
"Please enter here your social security number.","Please enter your social security number."
"Please enter the location of your bank.","Please enter the location of your bank."
"Please enter the name of your bank.","Please enter the name of your bank."
"Please enter your IBAN number.","Please enter your IBAN number."
"Please enter your issue number, if there is no CVC code on your card.","Please enter your issue number, if there is no CVC code on your card."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Please empty or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please log in below:","Please log in below:"
"Please select","Please select"
"Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Please select the Bank Identifier Code (BIC) of your bank.","Please select the Bank Identifier Code (BIC) of your bank."
"Please select the day of your birth.","Please select the day of your birth."
"Please select the expiry month on your card.","You have to enter the month of the card expiry"
"Please select the expiry year on your card.","Please select your card's year of expiry."
"Please select the month of your birth.","Please select the month of your birth."
"Please select the the year of your birth.","Please select the the year of your birth."
"Please wait, processing your order...","Please wait, processing your order..."
"Point your smartphone camera at the QR code. Or select the 'Code' tab and enter the payment code.","Point your smartphone camera at the QR code. Or select the 'Code' tab and enter the payment code."
"Price","Price"
"Processing order: Waiting for confirmation from merchant.","Processing order: Waiting for confirmation from merchant"
"Processing order: Waiting for confirmation from user.","Processing order: Waiting for confirmation from user"
"Processing order:. Waiting for pairing from user.","Processing order: Waiting for pairing from user"
"Product","Product"
"Product Name","Product name"
"Purchase Point","Point of Purchase"
"QR CODE","QR Code"
"Qty","Qty"
"Recurring Payments","Recurring Payments"
"Refund Amount","Refunded amount"
"Refund ID","Refund ID"
"Refund amount","Refunded amount"
"Refund information","Refund information"
"Refund status","Refund status"
"Refunded Amount","Refunded amount"
"Refunds","Credit Memo"
"Register","Register"
"Register to Create an Account","Register to create an account"
"Register with us for future convenience:","Register with us for future convenience:"
"Release Date","Release Date"
"Return to order","Return to order"
"Review","Review"
"Rounding Adjustment","Rounding Adjustments"
"Row Total","Row Total"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Sales"
"Sales Tax Number","Sales Tax Number"
"Save","Save"
"Saved cards:","Saved cards:"
"See order and shipping status","See order and shipping status"
"Select Brand","Select card brand"
"Select Method","Select Method"
"Select the QR code symbol at the bottom right.","Select the QR code symbol at the bottom right."
"Select the authorization method to use for processing this payment method.","Select the authorisation method to use in order to process this payment method. (Please be aware that the hidden mode for credit cards (if available) requires additional PCI certification requirements. Contact TWINT for additional information)."
"Select the date of your birth.","Select your date of birth."
"Select the date on which your card expires.","Select the expiry date of your card."
"Selected payment profile:","Selected payment profile:"
"Send Invoice Email","Send Invoice Email"
"Send amounts to TWINT in base currency.","Send amounts to TWINT in base currency."
"Send amounts to TWINT in store's base currency.","Send amounts to TWINT in store's base currency."
"Send invoice email","Send invoice email"
"Send the invoice email automatically after invoice creation.","Send the invoice email automatically after invoice creation."
"Server Polling Timeout","Server Polling Timeout"
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","With 'direct capturing' the the customer is debited directly after completion of payment. In the case of 'deferred capturing' the amount is debited at a moment defined by you."
"Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Settlement after order","Settlement after order"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Delivery address"
"Shipping Amount","Shipping Amount"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shipping Methods","Shipping Methods"
"Shipping Refund","Shipping Refund"
"Shop","Shop"
"Short Installation Instructions:","Short Installation Instructions:"
"Should the authorized amount be transferred directly (direct) or should it be captured manually (deferred)?","Should the authorized amount be transferred directly (direct) or should it be captured manually (deferred)?"
"Show","Show"
"Show Account Selection","Show Account Selection"
"Show Further Settings and Information","Show further settings and information"
"Show Image","Show Image"
"Show Payment Id","Show Payment ID"
"Show the payment id","Show the payment ID"
"Show the payment id in the order information","Show the payment ID in the order information."
"Show the payment image","Show the payment image"
"Show the payment image on the checkout page","Show the payment image on the checkout page"
"Sign In","Sign In"
"Social Security Number","Social Security Number"
"Sort Order","Sort Order"
"Status","State"
"Store the payment details","Store the payment details"
"Stored payment details","Stored payment details"
"Submit Order","Submit Order"
"Submitting order information...","Submitting order information..."
"Subtotal","Subtotal"
"Success","Successful"
"Successful","Successful"
"Successful online refund of amount","Successful online refund of amount"
"Successful payment authorization.","Successful payment authorization"
"Successfull online refund of amount","Successful online refund of amount"
"Support","Support"
"System ID","System ID"
"System ID (Test)","System ID (Test)"
"TOKEN","Token"
"Tax Amount","Tax Amount"
"Technical issue: This payment methods is not available at the moment.","Technical issue: This payment method is not available at the moment."
"Test","Test"
"Test Mode","Test Mode"
"Test Transaction","Test Transaction"
"The 'cash register' identifies your shop. If you ever need to change the id, you can generate a new id here.","The 'cash register' identifies your shop. If you ever need to change the id, you can generate a new id here."
"The HMAC key as defined in the live backoffice of TWINT. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of TWINT. You may need generate the HMAC key. Please take a look at the manual how to do this."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","The SEPA mandate schema does not contain the tag '!tag'. This tag is required."
"The alias could not be found.","The alias could not be found."
"The alias has been deleted.","The alias has been deleted."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conducted with error code: !code, and reason: !reason:"
"The amount could not be verified.","The amount could not be verified."
"The amount of !amount is authorized.","The amount of !amount is authorized."
"The amount of !amount is captured.","The amount of !amount is captured."
"The authorization method '!method' is not supported.","The authorization method '!method' is not supported."
"The authorization was not successful","Authorization error. Authorization not successful."
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"The brand with external name '!key' was not present in the map.","The brand with external name '!key' was not present in the map."
"The brand with key '!key' was not found in the card information map.","The brand with key '!key' was not found in the card information map."
"The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount)."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) than the original item (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown should the brand selection using images."
"The configuration has been saved.","The configuration has been saved."
"The configuration value for @label must not be empty (Key: @key).","The configuration value for @label must not be empty (Key: @key)."
"The configuration value for @label must not be empty (Key: @key, Language: @language).","The configuration value for @label must not be empty (Key: @key, Language: @language)."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with the annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
