"* Required Fields","* Erforderliche Felder"
"An attempt to cancel the transaction was made with an incorrect hash.","Es wurde versucht, mit einem inkorrekten Hash die Transaktion abzubrechen."
"An attempt to process the transaction was made with an incorrect hash.","Es wurde ein Verarbeitungsversuch mit einem inkorrekten Hash gemacht."
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Author","Autor"
"Authorization Amount","Autorisierungsbetrag"
"Authorization Failed","Autorisierung fehlgeschlagen"
"Authorization Method","Autorisierungsmethode"
"Authorization is uncertain.","Autorisierung ist unsicher"
"Authorized Status","Autorisationsstatus"
"Await Notification","Benachrichtigung abwarten"
"Awaiting confirmation","Warten auf die Bestätigung"
"BIC","BIC"
"Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Bank Location","Bank Standort"
"Bank Name","Name der Bank"
"Bank account number","Bankkonto"
"Bank code number","Bankcodenummer"
"Before payment selection","Vor der Wahl der Zahlungsmethode"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformationen"
"Billing address","Billing address"
"Brand Name","Markenname"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"CVC Code","CVC Code"
"Cancel","Stornieren"
"Cancel ID","Stornierungs ID"
"Cancel pending orders when out of stock","Ausstehende Bestellungen stornieren, wenn der Artikel nicht mehr an Lager ist."
"Cancel status","Stornierungsstatus"
"Canceled TwintCw","Abbrechen TwintCw"
"Canceling of this payment not possible!","Stornieren dieser Zahlung ist nicht möglich!"
"Cancelled Status","Status für abgebrochene Bestellungen"
"Cannot update item quantity.","Die Artikelanzahl kann nicht aktualisiert werden."
"Capture Amount","Buchungsbetrag"
"Capture ID","Buchungs ID"
"Capture amount","Verbuchungsbetrag"
"Capture information","Buchungs Informationen"
"Capture status","Verbuchungsstatus"
"Capture: Don't Close","Verbuchung: Nicht schliessen"
"Captured Amount","Verbuchter Betrag"
"Captured Status","Verbuchungsstatus"
"Captures","Verbuchungen"
"Captures & Refunds","Verbuchungen & Gutschriften"
"Capturing","Verbuchung"
"Capturing method","Verbuchungsmethode"
"Card Expiration","Kartenablaufdatum"
"Card Holder Name","Karteninhaber"
"Card Number","Kartennummer"
"Carrier Title","Carrier Title"
"Cash Register Generation","Kassensystem registrieren"
"Cash Register ID","Cash Register ID"
"Certificate","Zertifikat"
"Certificate (Test)","Zertifikat (Test)"
"Certificate Passphrase","Passphrase für das Zertifikat"
"Certificate Passphrase (Test)","Passphrase für das Zertifikat (Test)"
"Check out faster","Schnelleres Bestellen"
"Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Checkout","Checkout"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse gehen oder ein Kundenkonto erstellen"
"Checkout as a new customer","Als Neukunde bestellen"
"Checkout using your account","Über Ihr Benutzerkonto bestellen"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird. Der status der Rechnung wird anhand Ihres Buchungs Status gesetzt."
"Company Commercial Number","Handelsregisternummer der Firma"
"Confirm Password","Passwort bestätigen"
"Confirm TWINT payment","TWINT Zahlung bestätigen"
"Continue","Fortfahren"
"Copy the content of the .pem file that you received from TWINT into the certificate text area in the main module.","Kopieren Sie den Inhalt der .pem Datei, die Sie von TWINT erhalten haben in das Textfeld für das Zertifikat im Hauptmodul."
"Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Could not find pressed button.","Der Button konnte nicht gefunden werden"
"Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Create Account","Benutzerkonto erstellen"
"Create New Order - Payment","Neue Bestellung erstellen - Zahlung"
"Create a certificate and transform it into a PEM file (see manual). Copy the content of this file to the certificate field. Add the password for the certificate to the corresponding field.","Erstellen Sie ein Zertifikat und verwandeln Sie es in eine PEM Datei (siehe Anleitung). Kopieren Sie den Inhalt dieser Datei in das Zertifikatsfeld. Fügen Sie das Passwort für das Zertifikat in die entsprechende Stelle ein."
"Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Creating an account has many benefits:","Die Erstellung eines Benutzerkontos bringt viele Vorteile mit sich:"
"Creation Date","Erstellungsdatum"
"Credit Card Brands","Kreditkartenbrand"
"Credit Memo History","Gutschrifthistorie"
"Credit Memo Totals","Gutschrift Total"
"Credit memo's total must be positive.","Der Gesamtbetrag der Gutschrift muss positiv sein."
"Currency","Währung"
"Current Configuration Scope:","Scope der Konfiguration:"
"Customer Account","Kundenkonto"
"Customer Alias Management","Kunden Alias Management"
"Customer successfully returned from TwintCw","Kunde ist erfolgreich von TwintCw zurückgekehrt"
"Customer successfully returned from TWINT","Der Kunde ist erfolgreich von der TwintCw Payment Page zurückgekehrt."
"Customer sucessfully returned from the TwintCw payment page.","Der Kunde ist erfolgreich von der TwintCw Payment Page zurückgekehrt."
"Customers","Kunden"
"Customweb","Customweb"
"Date","Datum"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Deactivate","Deaktivieren"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Sehr geehrter Kunde wir haben Ihre Rechnungs- und Lieferinformationen erhalten. Um Ihre Bestellung abschliessen zu können, bitten wir Sie ein Account zu erstellen oder sich als Gast anzumelden."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Default Config","Standard Konfiguration"
"Deferred","Verzögert"
"Deferred (authorization)","Verzögert (Autorisierung)"
"Deferred capturing","Verzögerte Buchung"
"Deferred settlement","Verzögerte Erstellung"
"Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Delayed","Verzögert"
"Delete","Löschen"
"Delivery address","Delivery address"
"Description","Beschreibung"
"Diners Club","Diners Club"
"Direct","Direkt"
"Direct Debits","Lastschrift"
"Direct E-Banking","Sofortüberweisung"
"Direct capture after order","Direkte Buchung nach der Bestellung"
"Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Disabled","Deaktiviert"
"Discount","Rabatt"
"Discount Amount","Rabattbetrag"
"Don't change order status","Bestellstatus nicht verändern."
"During authorization","Während der Autorisation"
"Edit","Bearbeiten"
"Edit Invoice %s","Rechnung bearbeiten %s"
"Email Address","E-Mail Adresse"
"Empty version number field name","Leerer Versionsnummer-Feldname"
"Enable or disable logging.","Erfassung aktivieren oder deaktivieren."
"Enable the payment method","Diese Zahlungsmethode aktivieren"
"Enabled","Aktiviert"
"Enter the Merchant Alias ID and the certificate passphrase into the fields of the main module.","Geben Sie die Merchant Alias ID und die Certificate Passphrase in die entsprechenden Felder im Hauptmodul ein."
"Enter the System ID into the corresponding field.","Geben Sie die System ID in die entsprechende Stelle ein."
"Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"Error: The response could not be mapped.","Fehler: Die Rückmeldung konnte nicht gemappt werden."
"Excl. Tax","Exkl. Steuern"
"External Checkout","Externer Checkout"
"External Checkout: Guest Checkout","External Checkout: Gast Checkout"
"Failed","Fehlgeschlagen"
"Failed payment authorization.","Die Autorisierung ist fehlgeschlagen."
"Figure !number:","Abbildung !number:"
"Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"Generate Cash Register","Registrierkasse generieren"
"Get Update","Aktualisieren"
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an TWINT übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Here you can modify what the order number looks like. The placeholder {id} will be replaced with the internal order number (e.g. ""MyShop-{id}""))","Hier können Sie festlegen, wie die Bestellnummer aussehen soll. Der Platzhalter {id} wird durch die interne Bestellnummer ersetzt (z.B. 'MyShop-{id}')."
"Here you can set the passphrase for the certificate. The certificate will be provided by TWINT.","Hier können Sie eine Passphrase für das Zertifikat eingeben. Das Zertifikat wird von TWINT bereitgestellt."
"Here you can set the passphrase for the certificate. The passphrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated.","Hier können Sie ihr Verschlüsselungskennwort für das Zertifikat festlegen. Das Verschlüsselungskennwort kann bis zu 5 Tage nachdem das Zertifikat erstellt wurde im Backend von TWINT abgefragt werden. Falls diese Frist abgelaufen ist müssen Sie ein neues Zertifikat erstellen."
"Here you can set the passphrase for the test certificate. The certificate will be provided by TWINT.","Hier können Sie die Passphrase für das Testzertifikat festlegen. Das Zertifikat wird von TWINT bereitgestellt."
"Here you can set the passphrase for the test certificate. The passphrase can be retrieved from the ____paymenServiceProviderName____ backend up to five days after the certificate was created. If this period has run out a new certificate must be generated.","Hier können Sie das Verschlüsselungskennwort für das Testzertifikat festlegen. Das Verschlüsselungskennwort kann bis zu 5 Tage nachdem das Zertifikat erstellt wurde im Backend von TWINT abgerufen werden. Falls diese Frist abgelaufen ist, müssen Sie ein neues Zertifikat erstellen."
"Here you can specify the test certificate which will be used to encrypt the communication in test mode. The text should be copied from the PEM file provided by TWINT. You can use a regular test editor to open the .pem file.","Hier können Sie das Testzertifikat angeben, das für die Verschlüsselung der Kommunikation im Testmodus verwendet werden soll. Der Text sollte aus der von TWINT zur Verfügung gestellten .pem Datei kopiert werden. Sie können zum Öffnen der Datei Ihren regulären Texteditor benutzen."
"Here you can specify which certificate which will be used to encrypt the communication in test mode. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field.","Hier können Sie festlegen, welches Zertifikat für die Entschlüsselung der Kommunikation im Testmodus verwendet werden soll. Das Zertifikat kann im Backend von TWINT unter Settings / Order Certificate from SwissSign gefunden werden. Die Datei muss in eine PEM Datei konvertiert werden (siehe Anleitung) und der Inhalt der Datei muss in dieses Feld kopiert werden."
"Here you can specify which certificate which will be used to encrypt the communication. The certificate can be found in the TWINT backend under Settings / Order certificate from SwissSign. The file must be converted to a PEM file (see manual) and the content of the file copied into this field.","Hier können Sie festlegen, welches Zertifikat für die Entschlüsselung der Kommunikation verwendet werden soll. Das Zertifikat kann im Backend von TWINT gefunden werden, unter Settings / Order Certificate from SwissSign. Die Datei muss in eine PEM Datei konvertiert werden (siehe Anleitung) und der Inhalt der Datei muss in dieses Feld kopiert werden."
"Here you can specify which certificate which will be used to encrypt the communication. The text should be copied from the PEM file provided by TWINT. You can open the .pem file with a regular text editor.","Hier können Sie angeben, welches Zertifikat für die Verschlüsselung der Kommunikation verwendet werden soll. Der Text sollte aus der .pem Datei kopiert werden, die Sie von TWINT erhalten haben. Sie können die Datei mit Ihrem regulären Texteditor öffnen."
"Hide","Verbergen"
"IBAN","IBAN"
"IBAN number","Bankkonto"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Sofern nur noch ein Produkt an Lager ist und die Bezahlung des Kunden (der genau dieses Produkt kauft) fehlschlägt, wird das Produkt solange reserviert bis die Bestellung annuliert wird (vgl. Timeout Option). Aktivieren Sie diese Option, falls Sie NICHT möchten, dass das Produkt reserviert wird. Die Bestellung wird dann bei fehlgeschlagener oder abgebrochener Zahlung sofort annuliert."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Der Artikel wird während der Zeit, wenn ein Kunde im Checkout ist reserverit. Aktivieren Sie diese Option, damit der Bestand bei fehlgeschlagenen Zahlungen direkt wieder freigegeben wird. Ansonsten erfolgt die Freigabe erst, wenn der Cron Job die ausstehenden Bestellungen cancelled."
"If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Wenn Sie die Checkbox anklicken wird die Bestellung beim PSP verbucht. Es können keine weiteren Captures erstellt werden."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Falls Sie Recurring Payments anbieten möchten, brauchen Sie das Magnet Modul ""Customweb Subscription"". Weitere Informationen finden Sie unter <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Auswahl des Kartenlogos"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Es kann in einigen Fällen ein paar Sekunden dauern bis die Transaktion erfolgreich genehmigt wird. Wenn diese Option aktiviert ist, wird die Benachrichtigung erwartet."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Es dauert teilweise etwas bis wir vom PSP die Nachricht der Zahlung erhalten. Das aktivieren dieser Option führt dazu, dass der Kunde im Checkout verzögert wird, bis die Notifikation vom PSP eintrifft."
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Tax"
"Information","Information"
"Invalid login or password.","Ungültiges Login oder Passwort."
"Invoice Items","Rechungsartikel"
"Invoice Settlement","Verbuchung der Rechnung"
"Invoice Totals","Rechnungstotal"
"Invoice settlement","Rechungserstellung"
"Invoice was created successfully","Die Rechnung wurde erfolgreich erstellt"
"Invoices","Rechungen"
"Issue Number","Ausgabekartennummer"
"It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Item","Artikel"
"Items","Artikel"
"Items Refunded","Artikel zurückerstattet"
"JCB","JCB"
"Live","Live"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Modus"
"Live Password","Live Passwort"
"Live Rang (PBX_RANG)","Live Rang"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrieren"
"Login and password are required.","Login und Passwort sind erforderlich."
"Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Manage Stores","Shops verwalten"
"Manage TWINT Aliases","TWINT Aliasse verwalten"
"MasterCard","MasterCard"
"Maximum Order Total","Maximales Bestelltotal"
"Merchant Alias ID","Merchant Alias ID"
"Merchant Alias ID (Test)","Merchant Alias ID (Test)"
"Message","Nachricht"
"Method Title","Titel der Zahlungsmethode"
"Minimum Order Total","Minimales Bestelltotal"
"Month","Monat"
"My TWINT Aliases","Meine TWINT Aliasse"
"New Order","Neue Bestellung"
"New Order Status","Neuer Bestellstatus"
"New card","Neue Karte"
"Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"No","Nein"
"No Items","Keine Artikel"
"No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"No button returned.","Kein Knopf erhalten."
"No refund possible.","Keine Rückvergütung möglich"
"No shipping method needed.","Keine Versandmethode benötigt."
"No, use the dropdown.","Dropdown-Menü benutzen"
"Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Open the TWINT App on your smartphone and confirm the payment","Öffnen Sie die TWINT App auf Ihrem Smartphone und bestätigen Sie die Zahlung"
"Open the TWINT App on your smartphone.","Öffnen Sie die TWINT App auf Ihrem Smartphone."
"Operating Mode","Betriebsmodus"
"Operation Mode","Betriebsmodus"
"Order #","Bestellnummer"
"Order Grand Total","Gesamtsumme der Bestellung"
"Order Information","Bestellungsinformation"
"Order Prefix","Bestell-Präfix"
"Order Review","Bestellungsüberprüfung"
"Order Schema","Bestellschema"
"Order Summary","Bestellzusammenfassung"
"Order Total","Bestelltotal"
"Order cancelled, because the customer was too long in the payment process of TWINT.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von TWINT befand."
"Order failed.","Die Bestellung ist fehlgeschlagen."
"Order failed: Customer aborted the process.","Die Bestellung ist fehlgeschlagen: Der Kunde hat den Vorgang abgebrochen."
"Order failed: Merchant aborted the process.","Die Bestellung ist fehlgeschlagen: Der Händler hat den Vorgang abgebrochen."
"Order failed: Order timeout.","Die Bestelllung ist fehlgeschlagen: Zeitüberschreitung"
"Order was placed using %s","Order was placed using %s"
"Orders","Bestellungen"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Paid Amount","Bezahlter Betrag"
"Partial refund not possible. You may retry with the total transaction amount.","Teilrückzahlung nicht möglich. Die Summe ist grösser als der verbuchte Gesamtbetrag."
"Password","Passwort"
"Password and password confirmation are not equal.","""Passwort"" und ""Passwort bestätigen"" stimmen nicht überein."
"Pay with ____paymentMethodName____","Zahlen mit ____paymentMethodName____"
"Payment","Zahlung"
"Payment ID","Zahlungs-ID"
"Payment Id","Payment ID"
"Payment Information","Zahlungsinformationen"
"Payment Method","Zahlungsmethode"
"Payment captured successfully.","Die Zahlung wurde erfolgreich vebucht."
"Payment could not be authorized. Cancelling order. Reason :","Die Zahlung konnte nicht autorisiert werden. Bestellung wird abgebrochen. Grund:"
"Payment details can be entered after placing the order","DIe Zahlungsinformationen können eingegeben werden, nachdem die Bestellung bestätigt wurde."
"Payment from Applicable Countries","Zahlung von zutreffenden Ländern"
"Payment from Specific Countries","Zahlung von spezifischen Ländern"
"Payment from applicable countries","Zahlung von zutreffenden Ländern"
"Payment from specific countries","Zahlung von spezifischen Ländern"
"Payment is pending at TwintCw","Zahlung ist bei TwintCw ausstehend"
"Payment method description","Beschreibung der Zahlungsmethode"
"Payment partially successful","Zahlung teilweise erfolgreich"
"Payment successful","Zahlung war erfolgreich"
"Payment with %s","Zahlung mit %s"
"Payment with TWINT","Zahlung mit TWINT"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Mit der Aktivierung dieser Option wird periodisch der Status der Zahlung via API Interface abgefragt. Um das Feature zu nutzen, muss der Magento Cron aktiviert sein."
"Pending","Ausstehend"
"Pending TwintCw","Ausstehend  TwintCw"
"Place Order","Rechtsverbindlich bestellen"
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie vor dem Platzieren der Bestellung den allgemeinen Geschäftsbedingungen zu."
"Please check the entered CVC number.","Bitte überprüfen Sie den eingegebenen CVC."
"Please check the entered credit card number.","Bitte geben Sie eine Kreditkartennummer ein."
"Please confirm the payment in the TWINT App on your phone.","Bitte bestätigen Sie die Zahlung in der TWINT App."
"Please enter here the Bank Identifier Code (BIC).","Bitte tragen Sie hier einen BIC ein (Bank identifier Code)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Bitte geben Sie hier den CVC Ihrer Karte ein. Sie finden diesen auf der Rückseite Ihrer Kreditkarte."
"Please enter here the International Bank Account Number (IBAN).","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the account holder name on the card.","Bitte geben Sie den Kontoinhaber an."
"Please enter here the account holder name.","Bitte tragen Sie hier den Kontoinhaber ein."
"Please enter here the account number of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the bank code of your bank.","Bitte geben Sie den Bankcode Ihrer Bank ein."
"Please enter here the card holder name on the card.","Bitte geben Sie den Karteninhaber auf Ihrer Kreditkarte ein."
"Please enter here the commercial number of your company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Please enter here the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Bitte loggen Sie sich ein:"
"Please select","-- Bitte wählen --"
